Class label,Belize,Bermuda,Florida Boats,Florida,Hawaii HIMB,Hawaii Kaneohe,Indonesia,Kenya,Mozambique,Palmyra hydromoth,Palmyra Mixed,Philippines,Tanzania,Thailand,USVI Butler Bay,USVI St Croix
ambient,0,0,3528,0,0,0,1800,563,0,0,0,0,0,0,0,0
anthrop_boat_engine,0,397,1522,2117,476,64,0,0,0,0,0,94,0,244,193,0
anthrop_bomb,0,0,0,0,0,0,203,0,0,0,0,0,0,0,0,0
anthrop_mechanical,0,0,0,0,0,0,0,0,0,0,0,0,0,0,619,0
bioph,45,346,0,922,250,101,0,258,331,588,0,0,74,0,261,97
bioph_cascading_saw,0,0,0,0,68,195,0,0,0,1035,8166,0,0,0,0,0
bioph_chatter,0,0,0,49,0,0,0,0,0,106,0,0,0,0,0,0
bioph_chorus,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bioph_crackle,203,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bioph_croak,0,0,0,2661,0,0,0,0,0,0,0,0,0,0,0,941
bioph_damselfish,0,0,0,949,0,0,0,0,118,0,245,0,0,0,0,0
bioph_dolphin,0,0,0,1748,0,0,0,0,0,0,0,0,0,0,0,0
bioph_double_pulse,0,0,0,0,1099,0,0,0,0,0,0,0,0,0,0,0
bioph_echinidae,0,0,0,0,0,0,0,0,0,0,1457,0,0,43,0,0
bioph_epigut,0,326,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bioph_grazing,0,0,0,0,190,0,0,0,0,0,160,0,0,0,0,0
bioph_grouper_a,0,102,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bioph_grouper_groan,0,0,0,0,0,0,0,0,140,0,0,0,0,0,0,0
bioph_growl,0,0,0,968,0,0,0,0,0,0,1047,0,0,0,0,0
bioph_holocentrus,0,91,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bioph_knock,0,0,0,58,1116,0,0,0,0,0,80,0,0,0,0,87
bioph_knock_croak_a,0,0,0,0,2951,0,0,0,0,0,0,0,0,0,0,0
bioph_knock_croak_b,0,0,0,0,326,0,0,0,0,0,0,0,0,0,0,0
bioph_knock_croak_c,0,0,0,0,1384,0,0,0,0,0,0,0,0,0,0,0
bioph_low_growl,0,0,0,0,542,0,0,0,0,0,0,0,0,0,0,0
bioph_megnov,0,0,0,216,0,0,0,0,271,0,0,0,1597,0,417,0
bioph_midshipman,0,0,0,4660,0,0,0,0,0,0,0,0,0,0,0,0
bioph_mycbon,0,497,0,233,0,0,0,0,0,0,0,0,0,0,0,0
bioph_pomamb,0,0,0,0,0,0,0,0,0,0,0,128,0,0,0,0
bioph_pulse,0,0,0,1108,90,145,0,0,116,0,0,0,0,0,0,0
bioph_rattle,0,0,0,2508,0,0,0,0,0,0,0,0,0,0,0,0
bioph_rattle_response,0,0,0,558,0,0,0,0,0,0,0,0,0,0,0,0
bioph_series_a,0,0,0,174,0,0,0,0,0,0,0,0,0,0,0,0
bioph_series_b,0,0,0,0,0,0,0,0,0,0,65,0,0,0,0,0
bioph_stridulation,0,0,0,0,83,113,0,0,0,0,184,0,0,0,0,0
bioph_whup,0,0,0,0,0,0,0,0,55,0,0,0,0,0,0,0
geoph_waves,0,0,0,0,49,0,0,0,0,0,0,0,0,0,0,0
